169,114,120,2
15,16,18,2
168,117,116,2
15,15,17,2
130,99,94,1
177,128,114,1
184,138,149,2
178,122,109,1
16,14,15,1
191,150,156,1
173,126,146,1
157,98,68,1
188,147,145,1
175,119,104,1
175,127,125,2
171,118,124,2
174,126,142,1
184,140,153,2
156,104,108,2
163,107,116,2
13,9,10,1
176,132,129,2
137,75,78,1
30,20,18,2
42,32,31,2
156,99,70,1
190,148,150,1
180,135,155,1
183,141,153,2
41,31,30,2
28,18,19,2
158,101,82,1
188,146,148,1
184,141,150,2
161,109,113,2
180,134,137,2
126,62,62,1
19,15,16,1
187,147,148,1
187,143,156,2
134,70,70,1
174,126,122,2
163,111,115,2
195,133,148,1
190,150,151,1
173,122,103,1
168,123,120,2
182,141,149,2
14,10,9,1
174,124,117,2
186,144,146,1
14,10,9,1
12,10,11,1
176,119,108,1
174,129,126,2
128,64,65,1
168,120,120,2
16,16,14,1
16,10,12,1
190,146,159,2
118,89,83,1
19,15,14,1
166,118,116,2
16,16,18,2
187,145,159,2
185,143,155,2
140,74,75,1
14,15,19,2
51,37,37,2
167,112,117,2
44,30,30,2
180,122,111,1
124,72,74,1
159,98,77,1
15,15,17,2
170,122,122,2
35,25,26,2
166,116,117,2
164,110,108,2
19,20,24,2
15,13,14,1
186,144,154,2
180,129,148,1
88,47,41,1
184,142,152,2
155,101,67,1
183,141,151,2
14,12,13,1
182,136,146,2
184,143,151,2
26,16,17,2
109,79,69,1
18,18,20,2
167,119,119,2
176,133,152,1
159,104,74,1
13,13,15,2
18,19,23,2
187,145,147,1
171,126,146,1
162,103,73,1
16,16,18,2
123,90,83,1
159,98,69,1
14,10,11,1
33,24,19,2
123,94,88,1
185,143,155,2
168,117,122,2
175,124,141,1
184,142,154,2
18,18,20,2
14,12,13,1
164,109,114,2
206,163,180,1
157,96,65,1
184,140,153,2
16,16,18,2
204,160,177,1
186,143,153,2
41,42,46,2
13,11,12,1
205,162,179,1
200,133,151,1
164,115,111,2
183,142,150,2
187,140,150,2
95,40,45,1
159,104,74,1
201,158,175,1
28,16,18,2
14,12,13,1
33,23,22,2
13,9,10,1
161,104,84,1
16,12,13,1
178,130,128,2
15,13,14,1
189,147,149,1
16,16,18,2
182,142,143,1
32,22,20,2
183,140,149,2
167,112,117,2
184,140,153,2
185,142,149,1
170,120,119,2
15,16,18,2
164,113,112,2
203,160,177,1
39,29,28,2
171,121,132,1
169,118,123,2
188,146,148,1
18,18,20,2
167,114,96,1
19,15,14,1
128,95,90,1
16,16,18,2
199,132,150,1
176,123,105,1
188,143,146,1
179,135,150,1
201,134,152,1
190,148,150,1
183,140,150,2
191,149,151,1
111,82,74,1
166,116,117,2
16,10,10,1
167,118,113,2
19,15,14,1
195,126,144,1
15,15,17,2
172,120,122,2
195,126,144,1
175,122,104,1
169,114,119,2
168,120,118,2
188,146,150,1
204,160,177,1
166,118,118,2
161,109,113,2
46,34,36,2
165,115,114,2
17,18,22,2
164,112,116,2
166,111,116,2
184,141,151,2
168,113,118,2
170,122,122,2
179,133,136,2
188,142,142,2
178,129,148,1
201,158,177,1
163,111,115,2
170,127,121,2
41,29,29,2
202,158,175,1
184,139,159,1
54,43,37,1
174,121,105,1
177,127,126,2
13,9,10,1
187,144,151,1
185,137,149,2
156,97,65,1
204,156,170,1
38,28,27,2
171,116,122,2
185,139,150,2
199,132,150,1
204,162,176,1
19,20,24,2
168,120,118,2
164,108,117,2
197,130,147,1
183,141,155,1
174,124,127,2
105,75,65,1
184,142,154,2
171,122,115,2
184,142,156,2
170,113,119,2
194,128,142,1
158,93,55,1
33,23,22,2
107,59,49,1
107,77,66,1
154,95,61,1
183,141,151,2
32,24,22,2
167,114,120,2
39,27,29,2
183,145,156,2
132,71,66,1
16,17,21,2
30,22,20,2
153,97,70,1
17,13,12,1
25,15,16,1
15,15,17,2
18,14,15,1
174,129,126,2
171,119,98,1
182,136,147,2
175,124,105,1
187,144,153,1
175,120,100,1
177,121,108,1
14,10,9,1
185,139,149,2
167,112,117,2
178,129,150,1
33,21,23,2
174,124,123,2
186,146,147,1
138,72,73,1
20,19,24,2
185,143,155,2
163,115,113,2
179,132,152,1
187,145,155,2
161,102,72,1
185,143,157,2
176,123,129,2
159,104,74,1
29,17,19,2
13,11,12,1
13,11,12,1
116,84,73,1
164,113,109,2
113,83,73,1
30,21,22,2
183,140,150,2
16,14,15,1
184,142,154,2
29,19,20,2
201,158,175,1
130,100,92,1
37,27,28,2
170,124,126,2
202,140,155,1
175,127,127,2
167,115,119,2
184,138,140,2
171,115,118,2
190,148,150,1
14,12,13,1
181,141,150,2
115,82,75,1
172,121,126,2
184,142,156,2
158,96,75,1
189,147,148,1
38,28,29,2
201,158,175,1
163,108,111,2
32,20,20,2
190,124,138,1
39,29,28,2
179,121,109,1
112,79,72,1
185,142,149,1
121,88,79,1
186,144,146,1
206,163,180,1
170,120,131,1
168,118,119,2
146,80,81,1
178,126,115,1
16,17,21,2
181,137,154,1
176,128,124,2
15,15,17,2
160,105,75,1
112,79,72,1
167,112,117,2
131,100,95,1
194,128,142,1
85,37,35,1
188,145,165,2
169,114,119,2
170,115,120,2
161,110,93,1
180,131,117,1
147,82,78,1
184,142,144,1
15,15,17,2
182,140,150,2
204,161,178,1
162,111,107,2
121,88,79,1
188,146,156,2
187,144,153,2
187,147,148,1
165,110,113,2
171,118,112,2
171,116,121,2
175,126,119,2
191,125,139,1
44,34,33,2
17,18,22,2
22,23,27,2
19,15,16,1
170,115,118,2
203,161,175,1
169,121,121,2
172,124,138,1
175,131,128,2
13,11,12,1
193,124,142,1
196,135,153,1
206,163,180,1
172,119,125,2
187,141,151,2
10,8,9,1
204,141,160,1
111,82,76,1
172,119,111,2
169,114,119,2
169,121,119,2
35,25,26,2
185,138,148,2
164,115,111,2
165,110,113,2
174,123,140,1
160,104,81,1
158,101,71,1
175,120,100,1
191,146,167,2
146,81,79,1
118,85,76,1
15,13,14,1
15,15,17,2
16,12,11,1
22,16,16,1
168,116,95,1
192,123,141,1
37,27,28,2
203,160,177,1
184,142,146,1
164,112,116,2
161,106,76,1
177,134,153,1
122,90,77,1
206,164,178,1
18,18,20,2
170,117,123,2
32,22,21,2
182,140,152,2
15,11,12,1
13,11,12,1
185,142,151,2
41,29,29,2
161,109,113,2
23,24,28,2
161,106,76,1
36,26,27,2
189,147,149,1
187,145,155,2
100,51,55,1
184,142,146,1
15,15,13,1
185,145,146,1
169,114,119,2
20,14,16,1
7,5,6,1
169,121,119,2
166,118,116,2
14,10,11,1
177,126,143,1
17,17,19,2
35,23,25,2
173,125,139,1
200,131,149,1
18,17,22,2
182,144,157,2
172,122,113,2
164,109,114,2
186,141,161,1
15,15,17,2
185,143,155,2
167,112,115,2
188,146,148,1
184,143,149,1
122,89,82,1
193,126,144,1
184,142,144,1
95,40,35,1
176,126,119,1
171,121,133,1
180,138,148,2
15,15,17,2
203,159,176,1
167,109,85,1
201,134,152,1
168,117,113,2
104,49,46,1
15,13,14,1
185,143,145,1
203,136,154,1
167,119,119,2
193,124,142,1
170,126,143,1
184,144,145,1
184,142,154,2
13,11,12,1
169,114,117,2
37,27,26,2
165,110,116,2
179,134,154,1
186,145,163,1
184,138,149,2
201,158,175,1
29,19,20,2
19,18,23,2
204,161,178,1
19,20,24,2
20,16,15,1
112,82,72,1
172,119,101,1
168,123,118,2
183,142,150,2
44,34,33,2
39,29,30,2
106,76,66,1
26,16,14,2
195,131,148,1
50,36,36,2
18,18,20,2
203,136,154,1
47,33,33,2
32,22,20,2
160,104,81,1
180,132,122,1
180,131,117,1
35,23,25,2
17,13,12,1
178,135,129,2
37,28,23,2
185,143,153,2
165,110,115,2
177,125,111,1
15,15,17,2
29,17,19,2
138,77,74,1
193,124,142,1
17,16,21,2
34,24,23,2
130,97,90,1
32,26,26,2
16,16,18,2
25,15,16,2
190,148,150,1
17,18,22,2
184,148,160,2
14,12,13,1
14,12,13,1
13,13,13,1
163,113,112,2
34,27,21,1
201,158,175,1
15,13,14,1
177,129,115,1
182,134,134,2
181,125,110,1
159,104,74,1
163,110,118,2
159,107,111,2
169,116,124,2
91,41,42,1
28,18,19,2
169,125,124,2
143,77,78,1
15,15,17,2
184,141,151,2
14,12,13,1
170,115,120,2
188,146,148,1
166,109,80,1
33,23,22,2
23,13,14,1
20,16,17,1
109,47,48,1
16,17,21,2
182,142,153,2
33,23,21,2
29,17,19,2
15,15,15,1
169,114,117,2
186,146,147,1
167,115,119,2
