964,62.8,13.6,6.4,4,9.2,3,11.6,22.2,8.6,9.2,8.8,7.8,1,4.4,8.2,14.6,35.4,62.6,22.6
972.6,31,13.6,7.4,5.4,9.8,3.8,12.4,24,13.2,11.6,11.8,11.6,3.8,8.2,13.2,17,35,56.8,17.8
1011.6,44,14,5.2,3.6,8.4,5.4,13,23.2,12.8,11.6,11.8,11.6,3.4,7.8,13,14,26.6,25.6,13.4
775.8,65,8.6,8.8,10,9.4,3.6,2.6,2.4,1.4,4,4.6,6.6,3.2,0.8,2.6,17.8,58.2,167.4,127.2
886.8,43.6,16.4,8.8,7,11.8,1.8,10.2,22.2,8.8,10.8,11.2,11.4,1.4,4.4,8.2,14.6,38.2,100.6,61.8
742,51.4,7.4,5.8,6.4,7.4,0.6,3,3,4.6,4.4,6.2,5,3.2,0.8,2.6,16.8,88.4,234,87
775.8,65,8.6,8.8,10,9.4,3.6,2.6,2.4,1.4,4,4.6,6.6,3.2,0.8,2.6,17.8,58.2,167.4,127.2
655.2,36,8.6,3.2,4,4.6,0.6,2.2,1.8,4.2,4.4,8.2,8.6,4.2,1.2,1.8,12.6,88.8,281.4,148.4
